Date,Open,High,Low,Close,Adj Close,Volume
2010-11-26,11.205000,11.346429,11.176429,11.250000,9.589703,237585600
2010-11-29,11.267857,11.338571,11.120714,11.316786,9.646631,445785200
2010-11-30,11.197857,11.227143,11.102500,11.112500,9.472493,501858000
2010-12-01,11.259643,11.348214,11.250000,11.300000,9.632322,461750800
2010-12-02,11.340357,11.392857,11.246071,11.362500,9.685597,462837200
2010-12-03,11.321786,11.380357,11.297857,11.337143,9.663981,342092800
2010-12-06,11.380000,11.511786,11.372143,11.433929,9.746485,448481600
2010-12-07,11.564286,11.571071,11.361429,11.364643,9.687426,391454000
2010-12-08,11.415357,11.465000,11.325357,11.464643,9.772669,321935600
2010-12-09,11.504643,11.517857,11.393571,11.420000,9.734612,294151200
2010-12-10,11.416071,11.466071,11.378571,11.448571,9.758965,262511200
2010-12-13,11.584643,11.609286,11.464286,11.488214,9.792756,439815600
2010-12-14,11.490357,11.519286,11.392857,11.438929,9.750746,351008000
2010-12-15,11.428571,11.535714,11.399643,11.441429,9.752876,417312000
2010-12-16,11.467500,11.521786,11.432143,11.473214,9.779973,322030800
2010-12-17,11.486786,11.492500,11.436786,11.450357,9.760488,386929200
2010-12-20,11.485714,11.544643,11.365357,11.507500,9.809197,385610400
2010-12-21,11.535714,11.585357,11.501786,11.578571,9.869781,256354000
2010-12-22,11.584286,11.632857,11.555357,11.612857,9.899003,265921600
2010-12-23,11.607143,11.612500,11.541786,11.557143,9.851516,223157200
2010-12-27,11.530357,11.622857,11.482857,11.595714,9.884392,249816000
2010-12-28,11.639643,11.666429,11.609286,11.623929,9.908445,175924000
2010-12-29,11.650714,11.658929,11.610714,11.617500,9.902966,163139200
2010-12-30,11.624286,11.625357,11.537500,11.559286,9.853342,157494400
2010-12-31,11.533929,11.552857,11.475357,11.520000,9.819856,193508000
2011-01-03,11.630000,11.795000,11.601429,11.770357,10.033265,445138400
2011-01-04,11.872857,11.875000,11.719643,11.831786,10.085624,309080800
2011-01-05,11.769643,11.940714,11.767857,11.928571,10.168128,255519600
2011-01-06,11.954286,11.973214,11.889286,11.918929,10.159909,300428800
2011-01-07,11.928214,12.012500,11.853571,12.004286,10.232672,311931200
2011-01-10,12.101071,12.258214,12.041786,12.230357,10.425372,448560000
2011-01-11,12.317143,12.320000,12.123929,12.201429,10.400712,444108000
2011-01-12,12.258929,12.301071,12.214286,12.300714,10.485349,302590400
2011-01-13,12.327143,12.380000,12.280357,12.345714,10.523709,296780400
2011-01-14,12.353214,12.445714,12.301429,12.445714,10.608950,308840000
2011-01-18,11.768571,12.312857,11.642857,12.166071,10.370573,1880998000
2011-01-19,12.441071,12.450000,12.031429,12.101429,10.315474,1135612800
2011-01-20,12.015357,12.082143,11.790000,11.881429,10.127943,764789200
2011-01-21,11.920357,11.960000,11.665357,11.668571,9.946499,754401200
2011-01-24,11.673929,12.051786,11.668571,12.051786,10.273157,574683200
2011-01-25,12.011786,12.194286,11.948929,12.192857,10.393410,546868000
2011-01-26,12.248571,12.342857,12.196429,12.280357,10.467995,506875600
2011-01-27,12.277857,12.310357,12.243929,12.257500,10.448508,285026000
2011-01-28,12.291786,12.300000,11.911786,12.003571,10.232061,592057200
2011-01-31,11.992857,12.144286,11.939286,12.118571,10.330086,377246800
2011-02-01,12.189286,12.344643,12.177857,12.322500,10.503917,426633200
2011-02-02,12.301786,12.330357,12.269643,12.297143,10.482306,258955200
2011-02-03,12.278571,12.294286,12.091071,12.265714,10.455512,393797600
2011-02-04,12.272857,12.382143,12.268214,12.375000,10.548671,321840400
2011-02-07,12.424643,12.616071,12.415714,12.567143,10.712459,485021600
2011-02-08,12.631429,12.697143,12.576786,12.685714,10.813530,381040800
2011-02-09,12.685357,12.821429,12.673929,12.791429,10.903640,482745200
2011-02-10,12.763929,12.857143,12.428571,12.662143,10.793437,928550000
2011-02-11,12.669643,12.778571,12.626429,12.744643,10.863764,367572800
2011-02-14,12.742500,12.838571,12.739643,12.827857,10.934694,310416400
