,Date_x,Close,grouper,Date_y,GDP_growth
0,2010-11-26,11.25,2010,2010-01-01,2.70885669
1,2010-11-29,11.316786,2010,2010-01-01,2.70885669
2,2010-11-30,11.1125,2010,2010-01-01,2.70885669
3,2010-12-01,11.3,2010,2010-01-01,2.70885669
4,2010-12-02,11.3625,2010,2010-01-01,2.70885669
5,2010-12-03,11.337143,2010,2010-01-01,2.70885669
6,2010-12-06,11.433929,2010,2010-01-01,2.70885669
7,2010-12-07,11.364643,2010,2010-01-01,2.70885669
8,2010-12-08,11.464643,2010,2010-01-01,2.70885669
9,2010-12-09,11.42,2010,2010-01-01,2.70885669
10,2010-12-10,11.448571,2010,2010-01-01,2.70885669
11,2010-12-13,11.488214,2010,2010-01-01,2.70885669
12,2010-12-14,11.438929,2010,2010-01-01,2.70885669
13,2010-12-15,11.441429,2010,2010-01-01,2.70885669
14,2010-12-16,11.473214,2010,2010-01-01,2.70885669
15,2010-12-17,11.450357,2010,2010-01-01,2.70885669
16,2010-12-20,11.5075,2010,2010-01-01,2.70885669
17,2010-12-21,11.578571,2010,2010-01-01,2.70885669
18,2010-12-22,11.612857,2010,2010-01-01,2.70885669
19,2010-12-23,11.557143,2010,2010-01-01,2.70885669
20,2010-12-27,11.595714,2010,2010-01-01,2.70885669
21,2010-12-28,11.623929,2010,2010-01-01,2.70885669
22,2010-12-29,11.6175,2010,2010-01-01,2.70885669
23,2010-12-30,11.559286,2010,2010-01-01,2.70885669
24,2010-12-31,11.52,2010,2010-01-01,2.70885669
25,2011-01-03,11.770357,2011,2011-01-01,1.54989495
26,2011-01-04,11.831786,2011,2011-01-01,1.54989495
27,2011-01-05,11.928571,2011,2011-01-01,1.54989495
28,2011-01-06,11.918929,2011,2011-01-01,1.54989495
29,2011-01-07,12.004286,2011,2011-01-01,1.54989495
30,2011-01-10,12.230357,2011,2011-01-01,1.54989495
31,2011-01-11,12.201429,2011,2011-01-01,1.54989495
32,2011-01-12,12.300714,2011,2011-01-01,1.54989495
33,2011-01-13,12.345714,2011,2011-01-01,1.54989495
34,2011-01-14,12.445714,2011,2011-01-01,1.54989495
35,2011-01-18,12.166071,2011,2011-01-01,1.54989495
36,2011-01-19,12.101429,2011,2011-01-01,1.54989495
37,2011-01-20,11.881429,2011,2011-01-01,1.54989495
38,2011-01-21,11.668571,2011,2011-01-01,1.54989495
39,2011-01-24,12.051786,2011,2011-01-01,1.54989495
40,2011-01-25,12.192857,2011,2011-01-01,1.54989495
41,2011-01-26,12.280357,2011,2011-01-01,1.54989495
42,2011-01-27,12.2575,2011,2011-01-01,1.54989495
43,2011-01-28,12.003571,2011,2011-01-01,1.54989495
44,2011-01-31,12.118571,2011,2011-01-01,1.54989495
45,2011-02-01,12.3225,2011,2011-01-01,1.54989495
46,2011-02-02,12.297143,2011,2011-01-01,1.54989495
47,2011-02-03,12.265714,2011,2011-01-01,1.54989495
48,2011-02-04,12.375,2011,2011-01-01,1.54989495
49,2011-02-07,12.567143,2011,2011-01-01,1.54989495
50,2011-02-08,12.685714,2011,2011-01-01,1.54989495
51,2011-02-09,12.791429,2011,2011-01-01,1.54989495
52,2011-02-10,12.662143,2011,2011-01-01,1.54989495
53,2011-02-11,12.744643,2011,2011-01-01,1.54989495
54,2011-02-14,12.827857,2011,2011-01-01,1.54989495
55,2011-02-15,12.853571,2011,2011-01-01,1.54989495
56,2011-02-16,12.968929,2011,2011-01-01,1.54989495
57,2011-02-17,12.796429,2011,2011-01-01,1.54989495
58,2011-02-18,12.52,2011,2011-01-01,1.54989495
59,2011-02-22,12.093214,2011,2011-01-01,1.54989495
60,2011-02-23,12.236429,2011,2011-01-01,1.54989495
61,2011-02-24,12.245714,2011,2011-01-01,1.54989495
62,2011-02-25,12.434286,2011,2011-01-01,1.54989495
63,2011-02-28,12.614643,2011,2011-01-01,1.54989495
64,2011-03-01,12.475357,2011,2011-01-01,1.54989495
65,2011-03-02,12.575714,2011,2011-01-01,1.54989495
66,2011-03-03,12.841429,2011,2011-01-01,1.54989495
67,2011-03-04,12.857143,2011,2011-01-01,1.54989495
68,2011-03-07,12.691429,2011,2011-01-01,1.54989495
69,2011-03-08,12.705714,2011,2011-01-01,1.54989495
70,2011-03-09,12.588214,2011,2011-01-01,1.54989495
71,2011-03-10,12.381071,2011,2011-01-01,1.54989495
72,2011-03-11,12.571071,2011,2011-01-01,1.54989495
73,2011-03-14,12.627143,2011,2011-01-01,1.54989495
74,2011-03-15,12.336786,2011,2011-01-01,1.54989495
75,2011-03-16,11.786071,2011,2011-01-01,1.54989495
76,2011-03-17,11.951429,2011,2011-01-01,1.54989495
77,2011-03-18,11.809643,2011,2011-01-01,1.54989495
78,2011-03-21,12.117857,2011,2011-01-01,1.54989495
79,2011-03-22,12.185714,2011,2011-01-01,1.54989495
80,2011-03-23,12.113929,2011,2011-01-01,1.54989495
81,2011-03-24,12.320357,2011,2011-01-01,1.54989495
82,2011-03-25,12.555,2011,2011-01-01,1.54989495
83,2011-03-28,12.515714,2011,2011-01-01,1.54989495
84,2011-03-29,12.534286,2011,2011-01-01,1.54989495
85,2011-03-30,12.451071,2011,2011-01-01,1.54989495
86,2011-03-31,12.446786,2011,2011-01-01,1.54989495
87,2011-04-01,12.305714,2011,2011-01-01,1.54989495
88,2011-04-04,12.185357,2011,2011-01-01,1.54989495
89,2011-04-05,12.103214,2011,2011-01-01,1.54989495
90,2011-04-06,12.072857,2011,2011-01-01,1.54989495
91,2011-04-07,12.074286,2011,2011-01-01,1.54989495
92,2011-04-08,11.966429,2011,2011-01-01,1.54989495
93,2011-04-11,11.814286,2011,2011-01-01,1.54989495
94,2011-04-12,11.871429,2011,2011-01-01,1.54989495
95,2011-04-13,12.004643,2011,2011-01-01,1.54989495
96,2011-04-14,11.872143,2011,2011-01-01,1.54989495
97,2011-04-15,11.695,2011,2011-01-01,1.54989495
98,2011-04-18,11.851786,2011,2011-01-01,1.54989495
99,2011-04-19,12.066429,2011,2011-01-01,1.54989495
100,2011-04-20,12.228929,2011,2011-01-01,1.54989495
101,2011-04-21,12.525,2011,2011-01-01,1.54989495
102,2011-04-25,12.6075,2011,2011-01-01,1.54989495
103,2011-04-26,12.515,2011,2011-01-01,1.54989495
104,2011-04-27,12.505357,2011,2011-01-01,1.54989495
105,2011-04-28,12.383929,2011,2011-01-01,1.54989495
106,2011-04-29,12.504643,2011,2011-01-01,1.54989495
107,2011-05-02,12.367143,2011,2011-01-01,1.54989495
108,2011-05-03,12.435714,2011,2011-01-01,1.54989495
109,2011-05-04,12.484643,2011,2011-01-01,1.54989495
110,2011-05-05,12.383929,2011,2011-01-01,1.54989495
111,2011-05-06,12.380714,2011,2011-01-01,1.54989495
112,2011-05-09,12.414286,2011,2011-01-01,1.54989495
