,Date,Close,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
103,2011-04-26,12.515,3.34,0.22,0.09,15557.535,1.54989495,224.093
104,2011-04-27,12.505357,3.39,0.22,0.09,15557.535,1.54989495,224.093
105,2011-04-28,12.383929,3.34,0.23,0.09,15557.535,1.54989495,224.093
106,2011-04-29,12.504643,3.32,0.22,0.09,15557.535,1.54989495,224.093
107,2011-05-02,12.367143,3.31,0.22,0.09,15557.535,1.54989495,224.806
108,2011-05-03,12.435714,3.28,0.2,0.09,15557.535,1.54989495,224.806
109,2011-05-04,12.484643,3.25,0.19,0.09,15557.535,1.54989495,224.806
110,2011-05-05,12.383929,3.18,0.2,0.09,15557.535,1.54989495,224.806
111,2011-05-06,12.380714,3.19,0.18,0.09,15557.535,1.54989495,224.806
112,2011-05-09,12.414286,3.17,0.17,0.09,15557.535,1.54989495,224.806
113,2011-05-10,12.480357,3.23,0.19,0.09,15557.535,1.54989495,224.806
114,2011-05-11,12.401071,3.19,0.18,0.09,15557.535,1.54989495,224.806
115,2011-05-12,12.3775,3.22,0.18,0.09,15557.535,1.54989495,224.806
116,2011-05-13,12.160714,3.18,0.19,0.09,15557.535,1.54989495,224.806
117,2011-05-16,11.903571,3.15,0.18,0.1,15557.535,1.54989495,224.806
118,2011-05-17,12.005,3.12,0.19,0.09,15557.535,1.54989495,224.806
