Date,SP500
11/12/12,1380.03
11/13/12,1374.53
11/14/12,1355.49
11/15/12,1353.33
11/16/12,1359.88
11/19/12,1386.89
11/20/12,1387.81
11/21/12,1391.03
11/23/12,1409.15
11/26/12,1406.29
11/27/12,1398.94
11/28/12,1409.93
11/29/12,1415.95
11/30/12,1416.18
12/3/12,1409.46
12/4/12,1407.05
12/5/12,1409.28
12/6/12,1413.94
12/7/12,1418.07
12/10/12,1418.55
12/11/12,1427.84
12/12/12,1428.48
12/13/12,1419.45
12/14/12,1413.58
12/17/12,1430.36
12/18/12,1446.79
12/19/12,1435.81
12/20/12,1443.69
12/21/12,1430.15
12/24/12,1426.66
12/26/12,1419.83
12/27/12,1418.1
12/28/12,1402.43
12/31/12,1426.19
1/2/13,1462.42
1/3/13,1459.37
1/4/13,1466.47
1/7/13,1461.89
1/8/13,1457.15
1/9/13,1461.02
1/10/13,1472.12
1/11/13,1472.05
1/14/13,1470.68
1/15/13,1472.34
1/16/13,1472.63
1/17/13,1480.94
1/18/13,1485.98
1/22/13,1492.56
1/23/13,1494.81
1/24/13,1494.82
1/25/13,1502.96
1/28/13,1500.18
1/29/13,1507.84
1/30/13,1501.96
1/31/13,1498.11
2/1/13,1513.17
2/4/13,1495.71
2/5/13,1511.29
2/6/13,1512.12
2/7/13,1509.39
2/8/13,1517.93
2/11/13,1517.01
2/12/13,1519.43
2/13/13,1520.33
2/14/13,1521.38
2/15/13,1519.79
2/19/13,1530.94
2/20/13,1511.95
2/21/13,1502.42
2/22/13,1515.6
2/25/13,1487.85
2/26/13,1496.94
2/27/13,1515.99
2/28/13,1514.68
3/1/13,1518.2
3/4/13,1525.2
3/5/13,1539.79
3/6/13,1541.46
3/7/13,1544.26
3/8/13,1551.18
3/11/13,1556.22
3/12/13,1552.48
3/13/13,1554.52
3/14/13,1563.23
3/15/13,1560.7
3/18/13,1552.1
3/19/13,1548.34
3/20/13,1558.71
3/21/13,1545.8
3/22/13,1556.89
3/25/13,1551.69
3/26/13,1563.77
3/27/13,1562.85
3/28/13,1569.19
4/1/13,1562.17
4/2/13,1570.25
4/3/13,1553.69
4/4/13,1559.98
4/5/13,1553.28
4/8/13,1563.07
4/9/13,1568.61
4/10/13,1587.73
4/11/13,1593.37
4/12/13,1588.85
4/15/13,1552.36
4/16/13,1574.57
4/17/13,1552.01
4/18/13,1541.61
4/19/13,1555.25
4/22/13,1562.5
4/23/13,1578.78
4/24/13,1578.79
4/25/13,1585.16
4/26/13,1582.24
4/29/13,1593.61
4/30/13,1597.57
5/1/13,1582.7
5/2/13,1597.59
5/3/13,1614.42
5/6/13,1617.5
5/7/13,1625.96
5/8/13,1632.69
5/9/13,1626.67
5/10/13,1633.7
5/13/13,1633.77
5/14/13,1650.34
5/15/13,1658.78
5/16/13,1650.47
5/17/13,1667.47
5/20/13,1666.29
5/21/13,1669.16
5/22/13,1655.35
5/23/13,1650.51
5/24/13,1649.6
5/28/13,1660.06
5/29/13,1648.36
5/30/13,1654.41
5/31/13,1630.74
6/3/13,1640.42
6/4/13,1631.38
6/5/13,1608.9
6/6/13,1622.56
6/7/13,1643.38
6/10/13,1642.81
6/11/13,1626.13
6/12/13,1612.52
6/13/13,1636.36
6/14/13,1626.73
6/17/13,1639.04
6/18/13,1651.81
6/19/13,1628.93
6/20/13,1588.19
6/21/13,1592.43
6/24/13,1573.09
6/25/13,1588.03
6/26/13,1603.26
6/27/13,1613.2
6/28/13,1606.28
7/1/13,1614.96
7/2/13,1614.08
7/3/13,1615.41
7/5/13,1631.89
7/8/13,1640.46
7/9/13,1652.32
7/10/13,1652.62
7/11/13,1675.02
7/12/13,1680.19
7/15/13,1682.5
7/16/13,1676.26
7/17/13,1680.91
7/18/13,1689.37
7/19/13,1692.09
7/22/13,1695.53
7/23/13,1692.39
7/24/13,1685.94
7/25/13,1690.25
7/26/13,1691.65
7/29/13,1685.33
7/30/13,1685.96
7/31/13,1685.73
8/1/13,1706.87
8/2/13,1709.67
8/5/13,1707.14
8/6/13,1697.37
8/7/13,1690.91
8/8/13,1697.48
8/9/13,1691.42
8/12/13,1689.47
8/13/13,1694.16
8/14/13,1685.39
8/15/13,1661.32
8/16/13,1655.83
8/19/13,1646.06
8/20/13,1652.35
8/21/13,1642.8
8/22/13,1656.96
8/23/13,1663.5
8/26/13,1656.78
8/27/13,1630.48
8/28/13,1634.96
8/29/13,1638.17
8/30/13,1632.97
9/3/13,1639.77
9/4/13,1653.08
9/5/13,1655.08
9/6/13,1655.17
9/9/13,1671.71
9/10/13,1683.99
9/11/13,1689.13
9/12/13,1683.42
9/13/13,1687.99
9/16/13,1697.6
