Date, Dow_Jones
12/1/10,11255.78
12/2/10,11362.41
12/3/10,11382.09
12/6/10,11362.19
12/7/10,11359.16
12/8/10,11372.48
12/9/10,11370.06
12/10/10,11410.32
12/13/10,11428.56
12/14/10,11476.54
12/15/10,11457.47
12/16/10,11499.25
12/17/10,11491.91
12/20/10,11478.13
12/21/10,11533.16
12/22/10,11559.49
12/23/10,11573.49
12/27/10,11555.03
12/28/10,11575.54
12/29/10,11585.38
12/30/10,11569.71
12/31/10,11577.51
1/3/11,11670.75
1/4/11,11691.18
1/5/11,11722.89
1/6/11,11697.31
1/7/11,11674.76
1/10/11,11637.45
1/11/11,11671.88
1/12/11,11755.44
1/13/11,11731.9
1/14/11,11787.38
1/18/11,11837.93
1/19/11,11825.29
1/20/11,11822.8
1/21/11,11871.84
1/24/11,11980.52
1/25/11,11977.19
1/26/11,11985.44
1/27/11,11989.83
1/28/11,11823.7
1/31/11,11891.93
2/1/11,12040.16
2/2/11,12041.97
2/3/11,12062.26
2/4/11,12092.15
2/7/11,12161.63
2/8/11,12233.15
2/9/11,12239.89
2/10/11,12229.29
2/11/11,12273.26
2/14/11,12268.19
2/15/11,12226.64
2/16/11,12288.17
2/17/11,12318.14
2/18/11,12391.25
2/22/11,12212.79
2/23/11,12105.78
2/24/11,12068.5
2/25/11,12130.45
2/28/11,12226.34
3/1/11,12058.02
3/2/11,12066.8
3/3/11,12258.2
3/4/11,12169.88
3/7/11,12090.03
3/8/11,12214.38
3/9/11,12213.09
3/10/11,11984.61
3/11/11,12044.4
3/14/11,11993.16
3/15/11,11855.42
3/16/11,11613.3
3/17/11,11774.59
3/18/11,11858.52
3/21/11,12036.53
3/22/11,12018.63
3/23/11,12086.02
3/24/11,12170.56
3/25/11,12220.59
3/28/11,12197.88
3/29/11,12279.01
3/30/11,12350.61
3/31/11,12319.73
4/1/11,12376.72
4/4/11,12400.03
4/5/11,12393.9
4/6/11,12426.75
4/7/11,12409.49
4/8/11,12380.05
4/11/11,12381.11
4/12/11,12263.58
4/13/11,12270.99
4/14/11,12285.15
4/15/11,12341.83
4/18/11,12201.59
4/19/11,12266.75
4/20/11,12453.54
4/21/11,12505.99
4/25/11,12479.88
4/26/11,12595.37
4/27/11,12690.96
4/28/11,12763.31
4/29/11,12810.54
5/2/11,12807.36
5/3/11,12807.51
5/4/11,12723.58
5/5/11,12584.17
