Date_train,Price_train
2012-11-12,19.386786
2012-11-13,19.389286
2012-11-14,19.174286
2012-11-15,18.772142
2012-11-16,18.845715
2012-11-19,20.204643
2012-11-20,20.032499
2012-11-21,20.060715
2012-11-23,20.410713
2012-11-26,21.054644
2012-11-27,20.885
2012-11-28,20.819286
2012-11-29,21.048571
2012-11-30,20.902857
2012-12-03,20.935356
2012-12-04,20.566071
2012-12-05,19.2425
2012-12-06,19.544287
2012-12-07,19.044643
2012-12-10,18.922144
2012-12-11,19.335358
2012-12-12,19.25
2012-12-13,18.9175
2012-12-14,18.206785
2012-12-17,18.529642
2012-12-18,19.067858
2012-12-19,18.796785
2012-12-20,18.633215
2012-12-21,18.547501
2012-12-24,18.577499
2012-12-26,18.321428
2012-12-27,18.395
2012-12-28,18.199642
2012-12-31,19.006071
2013-01-02,19.608213
2013-01-03,19.360714
2013-01-04,18.821428
2013-01-07,18.710714
2013-01-08,18.76107
2013-01-09,18.467857
2013-01-10,18.696787
2013-01-11,18.582144
2013-01-14,17.919643
2013-01-15,17.354286
2013-01-16,18.074642
2013-01-17,17.952856
2013-01-18,17.857143
2013-01-22,18.0275
2013-01-23,18.3575
2013-01-24,16.089287
2013-01-25,15.71
2013-01-28,16.065357
2013-01-29,16.366785
2013-01-30,16.315357
2013-01-31,16.2675
2013-02-01,16.200714
2013-02-04,15.797143
2013-02-05,16.351429
2013-02-06,16.333929
2013-02-07,16.722143
2013-02-08,16.963572
2013-02-11,17.140356
2013-02-12,16.710714
2013-02-13,16.678928
2013-02-14,16.663929
2013-02-15,16.434286
2013-02-19,16.428213
2013-02-20,16.030357
2013-02-21,15.930714
2013-02-22,16.100357
2013-02-25,15.814286
2013-02-26,16.034643
2013-02-27,15.8775
2013-02-28,15.764286
2013-03-01,15.373929
2013-03-04,15.001786
2013-03-05,15.397857
2013-03-06,15.202143
2013-03-07,15.377857
2013-03-08,15.418571
2013-03-11,15.638214
2013-03-12,15.301071
2013-03-13,15.298214
2013-03-14,15.446429
2013-03-15,15.845
2013-03-18,16.275715
2013-03-19,16.231787
2013-03-20,16.145714
2013-03-21,16.168928
2013-03-22,16.496786
2013-03-25,16.556429
2013-03-26,16.469286
2013-03-27,16.145714
2013-03-28,15.809286
2013-04-01,15.318214
2013-04-02,15.349643
2013-04-03,15.428214
2013-04-04,15.275714
2013-04-05,15.114286
2013-04-08,15.221786
2013-04-09,15.249286
2013-04-10,15.560357
2013-04-11,15.511786
2013-04-12,15.35
2013-04-15,14.994643
2013-04-16,15.222857
2013-04-17,14.385714
2013-04-18,14.001786
2013-04-19,13.9475
